# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
8.200000000000000344e-02, -3.521032084100491621e-01, -3.540063981080109889e-01, -3.539950114193574637e-01, -3.532302755379149173e-01
8.300000000000000433e-02, -3.489314851532995254e-01, -3.508570818781808764e-01, -3.508456003794142020e-01, -3.500707927787909401e-01
8.400000000000000522e-02, -3.457407673553159477e-01, -3.476885154585224180e-01, -3.476769411826026168e-01, -3.468921532628650994e-01
8.500000000000000611e-02, -3.425316676241139668e-01, -3.445013048009333834e-01, -3.444896398000127369e-01, -3.436949660904156101e-01
8.600000000000000699e-02, -3.393048020969836043e-01, -3.412960594593812957e-01, -3.412843058044764399e-01, -3.404798439343602046e-01
8.700000000000000788e-02, -3.360607903221933812e-01, -3.380733924723141604e-01, -3.380615522525776129e-01, -3.372474029221392833e-01
8.799999999999999489e-02, -3.328002551400382480e-01, -3.348339202437689011e-01, -3.348219955660107772e-01, -3.339982625169511388e-01
8.899999999999999578e-02, -3.295238225632570184e-01, -3.315782624241301324e-01, -3.315662554123099404e-01, -3.307330453983485241e-01
8.999999999999999667e-02, -3.262321216568393467e-01, -3.283070417902572147e-01, -3.282949545849734863e-01, -3.274523773422295392e-01
9.099999999999999756e-02, -3.229257844172470082e-01, -3.250208841250809555e-01, -3.250087188829984264e-01, -3.241568871002412089e-01
9.199999999999999845e-02, -3.196054456510731279e-01, -3.217204180965401172e-01, -3.217081769898543220e-01, -3.208472062786142387e-01
9.299999999999999933e-02, -3.162717428531608976e-01, -3.184062751359779675e-01, -3.183939603519090333e-01, -3.175239692164610883e-01
9.400000000000000022e-02, -3.129253160842062065e-01, -3.150790893161327100e-01, -3.150667030563398807e-01, -3.141878128635476886e-01
9.500000000000000111e-02, -3.095668078478688301e-01, -3.117394972284553423e-01, -3.117270417085418743e-01, -3.108393766575732742e-01
9.600000000000000200e-02, -3.061968629674124420e-01, -3.083881378601406875e-01, -3.083756153090607688e-01, -3.074793024009742082e-01
9.700000000000000289e-02, -3.028161284619021454e-01, -3.050256524705377559e-01, -3.050130651300716478e-01, -3.041082341372747799e-01
9.800000000000000377e-02, -2.994252534219772333e-01, -3.016526844671673091e-01, -3.016400345914254655e-01, -3.007268180270122326e-01
9.900000000000000466e-02, -2.960248888852287652e-01, -2.982698792814838518e-01, -2.982571691362864708e-01, -2.973357022232562263e-01
1.000000000000000056e-01, -2.926156877112018329e-01, -2.948778842440065162e-01, -2.948651161063807202e-01, -2.939355367467446634e-01
1.010000000000000064e-01, -2.891983044560491045e-01, -2.914773484592830255e-01, -2.914645246168834913e-01, -2.905269733606635763e-01
1.020000000000000073e-01, -2.857733952468570204e-01, -2.880689226804015735e-01, -2.880560454309605833e-01, -2.871106654450890638e-01
1.030000000000000082e-01, -2.823416176556727275e-01, -2.846532591831986148e-01, -2.846403308339930383e-01, -2.836872678711186979e-01
1.040000000000000091e-01, -2.789036305732514598e-01, -2.812310116402392257e-01, -2.812180345075044330e-01, -2.802574368747136058e-01
1.049999999999999961e-01, -2.754600940825513433e-01, -2.778028349944628994e-01, -2.777898114028133358e-01, -2.768218299302767638e-01
1.059999999999999970e-01, -2.720116693320004941e-01, -2.743693853325530618e-01, -2.743563176144359073e-01, -2.733811056239877080e-01
1.069999999999999979e-01, -2.685590184085573373e-01, -2.709313197580866528e-01, -2.709182102532566860e-01, -2.699359235269191415e-01
1.079999999999999988e-01, -2.651028042105926241e-01, -2.674892962646189254e-01, -2.674761473194972039e-01, -2.664869440679615842e-01
1.089999999999999997e-01, -2.616436903206149633e-01, -2.640439736083697309e-01, -2.640307875754980826e-01, -2.630348284065724962e-01
1.100000000000000006e-01, -2.581823408778649576e-01, -2.605960111808650614e-01, -2.605827904183407040e-01, -2.595802383053805173e-01
1.110000000000000014e-01, -2.547194204508025361e-01, -2.571460688814295459e-01, -2.571328157523302682e-01, -2.561238360026642513e-01
1.120000000000000023e-01, -2.512555939095113544e-01, -2.536948069896094449e-01, -2.536815238613643331e-01, -2.526662840847310187e-01
1.130000000000000032e-01, -2.477915262980466549e-01, -2.502428860373927533e-01, -2.502295752812047080e-01, -2.492082453582155077e-01
1.140000000000000041e-01, -2.443278827067484338e-01, -2.467909666813581371e-01, -2.467776306716805146e-01, -2.457503827223284920e-01
1.150000000000000050e-01, -2.408653281445458372e-01, -2.433397095750413908e-01, -2.433263506888391214e-01, -2.422933590410695504e-01
1.160000000000000059e-01, -2.374045274112780990e-01, -2.398897752407341266e-01, -2.398763958570724886e-01, -2.388378370154360941e-01
1.170000000000000068e-01, -2.339461449700542539e-01, -2.364418239419396883e-01, -2.364284264412351844e-01, -2.353844790556454403e-01
1.180000000000000077e-01, -2.304908448196789916e-01, -2.329965155553291034e-01, -2.329831023187806660e-01, -2.319339471533962693e-01
1.190000000000000085e-01, -2.270392903671666629e-01, -2.295545094429370381e-01, -2.295410828519337532e-01, -2.284869027541915343e-01
1.199999999999999956e-01, -2.235921443003688336e-01, -2.261164643243947503e-01, -2.261030267599217214e-01, -2.250440066297441088e-01
1.209999999999999964e-01, -2.201500684607410607e-01, -2.226830381493947741e-01, -2.226695919912868304e-01, -2.216059187504907380e-01
1.219999999999999973e-01, -2.167137237162704011e-01, -2.192548879698354991e-01, -2.192414355962989392e-01, -2.181732981582363007e-01
1.229999999999999982e-01, -2.132837698345913802e-01, -2.158326698125395127e-01, -2.158192135994880245e-01, -2.147468028389462325e-01
1.239999999999999991e-01, -2.098608653563125426e-01, -2.124170385520258442e-01, -2.124035808723204743e-01, -2.113270895957169437e-01
1.250000000000000000e-01, -2.064456674685787863e-01, -2.090086477830714051e-01, -2.089951910060355855e-01, -2.079148139219401392e-01
1.260000000000000009e-01, -2.030388318788930446e-01, -2.056081496939695108e-01, -2.055946961846636667e-01, -2.045106298746849349e-01
1.270000000000000018e-01, -1.996410126892227965e-01, -2.022161949397124625e-01, -2.022027470582452302e-01, -2.011151899483207273e-01
1.280000000000000027e-01, -1.962528622704143022e-01, -1.988334325153147120e-01, -1.988199926162683706e-01, -1.977291449484002150e-01
1.290000000000000036e-01, -1.928750311369398229e-01, -1.954605096296669897e-01, -1.954470800613445636e-01, -1.943531438658239185e-01
1.300000000000000044e-01, -1.895081678220002508e-01, -1.920980715793480509e-01, -1.920846546831411206e-01, -1.909878337513085111e-01
1.310000000000000053e-01, -1.861529187530090723e-01, -1.887467616229004663e-01, -1.887333597325847601e-01, -1.876338595901779760e-01
1.320000000000000062e-01, -1.828099281274803423e-01, -1.854072208552786649e-01, -1.853938362963591657e-01, -1.842918641774990429e-01
1.330000000000000071e-01, -1.794798377893444541e-01, -1.820800880827473378e-01, -1.820667231717048029e-01, -1.809624879935791408e-01
1.340000000000000080e-01, -1.761632871057165484e-01, -1.787659996979398813e-01, -1.787526567415467782e-01, -1.776463690798487649e-01
1.350000000000000089e-01, -1.728609128441395693e-01, -1.754655895553416112e-01, -1.754522708499557382e-01, -1.743441429151443844e-01
1.360000000000000098e-01, -1.695733490503265606e-01, -1.721794888471442353e-01, -1.721661966779647612e-01, -1.710564422924163719e-01
1.370000000000000107e-01, -1.663012269264267928e-01, -1.689083259794214864e-01, -1.688950626197515958e-01, -1.677838971958709180e-01
1.380000000000000115e-01, -1.630451747098362048e-01, -1.656527264487054341e-01, -1.656394941592012060e-01, -1.645271346785734390e-01
1.390000000000000124e-01, -1.598058175525777780e-01, -1.624133127189181791e-01, -1.624001137468612521e-01, -1.612867787405263820e-01
1.400000000000000133e-01, -1.565837774012745487e-01, -1.591907040988250199e-01, -1.591775406772987789e-01, -1.580634502072380820e-01
1.410000000000000142e-01, -1.533796728777374052e-01, -1.559855166196887910e-01, -1.559723909668764563e-01, -1.548577666087994631e-01
1.420000000000000151e-01, -1.501941191601921521e-01, -1.527983629136042687e-01, -1.527852772319505947e-01, -1.516703420594879836e-01
1.430000000000000160e-01, -1.470277278651663799e-01, -1.496298520921486019e-01, -1.496168085675035064e-01, -1.485017871379084031e-01
1.440000000000000169e-01, -1.438811069300615919e-01, -1.464805896253079942e-01, -1.464675904262206507e-01, -1.453527087676898810e-01
1.449999999999999900e-01, -1.407548604964311556e-01, -1.433511772211679136e-01, -1.433382244980164755e-01, -1.422237100987533420e-01
1.459999999999999909e-01, -1.376495887939865048e-01, -1.402422127058997325e-01, -1.402293085900167546e-01, -1.391153903891602095e-01
1.469999999999999918e-01, -1.345658880253551015e-01, -1.371542899041578445e-01, -1.371414365070044439e-01, -1.360283448875589940e-01
1.479999999999999927e-01, -1.315043502516115570e-01, -1.340879985200378044e-01, -1.340751979323332455e-01, -1.329631647162405339e-01
1.489999999999999936e-01, -1.284655632786035340e-01, -1.310439240184634868e-01, -1.310311783093122406e-01, -1.299204367548150163e-01
1.499999999999999944e-01, -1.254501105440945785e-01, -1.280226475070744829e-01, -1.280099587230673630e-01, -1.269007435245239346e-01
1.509999999999999953e-01, -1.224585710057461974e-01, -1.250247456185965833e-01, -1.250121157828782970e-01, -1.239046630731949206e-01
1.519999999999999962e-01, -1.194915190299599139e-01, -1.220507903936445815e-01, -1.220382215050015151e-01, -1.209327688608555773e-01
